Country,pytorch hub: (1/1/04 - 8/22/20)
China,100
India,16
United States,15
Georgia,
Bosnia & Herzegovina,
Singapore,
Tunisia,
South Korea,
New Zealand,
Belarus,
Serbia,
Hong Kong,
Finland,
Taiwan,
Switzerland,
Israel,
Egypt,
Iran,
Belgium,
Thailand,
Philippines,
Russia,
Ukraine,
Germany,
Canada,
Netherlands,
Vietnam,
Japan,
Spain,
Australia,
Mexico,
United Kingdom,
Turkey,
Italy,
France,
Brazil,
Aruba,
Afghanistan,
Angola,
Anguilla,
Åland Islands,
Albania,
Andorra,
United Arab Emirates,
Argentina,
Armenia,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Austria,
Azerbaijan,
Burundi,
Benin,
Caribbean Netherlands,
Burkina Faso,
Bangladesh,
Bulgaria,
Bahrain,
Bahamas,
St. Barthélemy,
Belize,
Bermuda,
Bolivia,
Barbados,
Brunei,
Bhutan,
Bouvet Island,
Botswana,
Central African Republic,
Cocos (Keeling) Islands,
Chile,
Côte d’Ivoire,
Cameroon,
Congo - Kinshasa,
Congo - Brazzaville,
Cook Islands,
Colombia,
Comoros,
Cape Verde,
Costa Rica,
Cuba,
Curaçao,
Christmas Island,
Cayman Islands,
Cyprus,
Czechia,
Djibouti,
Dominica,
Denmark,
Dominican Republic,
Algeria,
Ecuador,
Eritrea,
Western Sahara,
Estonia,
Ethiopia,
Fiji,
Falkland Islands (Islas Malvinas),
Faroe Islands,
Micronesia,
Gabon,
Guernsey,
Ghana,
Gibraltar,
Guinea,
Guadeloupe,
Gambia,
Guinea-Bissau,
Equatorial Guinea,
Greece,
Grenada,
Greenland,
Guatemala,
French Guiana,
Guam,
Guyana,
Heard & McDonald Islands,
Honduras,
Croatia,
Haiti,
Hungary,
Indonesia,
Isle of Man,
British Indian Ocean Territory,
Ireland,
Iraq,
Iceland,
Jamaica,
Jersey,
Jordan,
Kazakhstan,
Kenya,
Kyrgyzstan,
Cambodia,
Kiribati,
St. Kitts & Nevis,
Kuwait,
Laos,
Lebanon,
Liberia,
Libya,
St. Lucia,
Liechtenstein,
Sri Lanka,
Lesotho,
Lithuania,
Luxembourg,
Latvia,
Macao,
St. Martin,
Morocco,
Monaco,
Moldova,
Madagascar,
Maldives,
Marshall Islands,
North Macedonia,
Mali,
Malta,
Myanmar (Burma),
Montenegro,
Mongolia,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Mauritius,
Malawi,
Malaysia,
Mayotte,
Namibia,
New Caledonia,
Niger,
Norfolk Island,
Nigeria,
Nicaragua,
Niue,
Norway,
Nepal,
Nauru,
Oman,
Pakistan,
Panama,
Pitcairn Islands,
Peru,
Palau,
Papua New Guinea,
Poland,
Puerto Rico,
North Korea,
Portugal,
Paraguay,
Palestine,
French Polynesia,
Qatar,
Réunion,
Romania,
Rwanda,
Saudi Arabia,
Sudan,
Senegal,
South Georgia & South Sandwich Islands,
St. Helena,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
El Salvador,
San Marino,
Somalia,
St. Pierre & Miquelon,
South Sudan,
São Tomé & Príncipe,
Suriname,
Slovakia,
Slovenia,
Sweden,
Eswatini,
Sint Maarten,
Seychelles,
Syria,
Turks & Caicos Islands,
Chad,
Togo,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Trinidad & Tobago,
Tuvalu,
Tanzania,
Uganda,
U.S. Outlying Islands,
Uruguay,
Uzbekistan,
Vatican City,
St. Vincent & Grenadines,
Venezuela,
British Virgin Islands,
U.S. Virgin Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Kosovo,
Yemen,
South Africa,
Zambia,
Zimbabwe,
